Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR24510773	174654.0	396.0	0.0	nan	0.0	0.0
SRR24510774	209590.0	998.0	0.0	nan	0.0	0.0
SRR24510775	239176.0	298.0	0.0	nan	0.0	0.0
SRR24510776	138098.0	232.0	0.0	nan	0.0	0.0
SRR24510777	152914.0	2482.0	0.0	nan	0.0	0.0
SRR24510778	79364.0	70.0	0.0	nan	0.0	0.0
SRR24510779	47310.0	82.0	0.0	nan	0.0	0.0
SRR24510780	76448.0	144.0	0.0	nan	0.0	0.0
SRR24510782	59688.0	80.0	0.0	nan	0.0	0.0
SRR37461704	117298.0	884.0	0.0	nan	0.0	0.0
SRR37461705	113782.0	206.0	0.0	nan	0.0	0.0
SRR37461706	91408.0	404.0	0.0	nan	0.0	0.0
SRR37461707	128960.0	266.0	0.0	nan	0.0	0.0
SRR37461708	89334.0	638.0	0.0	nan	0.0	0.0
SRR37461709	99644.0	584.0	0.0	nan	0.0	0.0
SRR37461710	113292.0	348.0	0.0	nan	0.0	0.0
SRR37461711	106530.0	510.0	0.0	nan	0.0	0.0
SRR37461712	69978.0	258.0	0.0	nan	0.0	0.0
SRR37461713	60578.0	272.0	0.0	nan	0.0	0.0
