.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
clean_SRR24510773_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510773_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510774_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1	0
clean_SRR24510774_R2	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1	0
clean_SRR24510775_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510775_R2	1	0.5	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510776_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510776_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510777_R1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1	0
clean_SRR24510777_R2	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1	0
clean_SRR24510778_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510778_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510779_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510779_R2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1	0
clean_SRR24510780_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510780_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510782_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	0
clean_SRR24510782_R2	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1	0
clean_SRR37461704_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461704_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461705_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461705_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461706_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461706_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461707_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461707_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461708_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461708_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461709_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461709_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461710_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461710_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461711_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461711_R2	1	1	1	0.25	1	1	0.5	0.25	0.5	1	1
clean_SRR37461712_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461712_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461713_R1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
clean_SRR37461713_R2	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	1
