Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
clean_SRR24510773_R1	(1, 32.88596882980063)	(2, 33.02587973937041)	(3, 33.26082425824774)	(4, 33.31416400425985)	(5, 33.0819448738649)	(6, 36.23815085826835)	(7, 36.27135937338967)	(8, 36.23099385069909)	(9, 36.19291857043068)	(10, 36.66884468721014)	(15, 37.505236639298275)	(20, 37.80215511811925)	(25, 38.22996324160913)	(30, 38.21162756077731)	(35, 38.20002493837386)	(40, 38.21312853795369)	(45, 38.20220787488195)	(50, 38.200493305501986)	(55, 38.21357864373592)	(60, 38.28651679513301)	(65, 38.20352464923904)	(70, 38.174796558498244)	(75, 38.148618593926145)	(80, 38.16973767076718)	(85, 38.14350103607223)	(90, 38.144385512943465)	(95, 38.11924397127581)	(100, 38.1412585937848)	(105, 38.12842006247605)	(110, 38.13503797065853)	(115, 37.98308282034665)	(120, 38.10554378505714)	(125, 38.10941146031555)	(130, 38.08229532359607)	(135, 38.062666361494905)	(140, 38.04582446527935)	(145, 38.04427199301883)	(150, 37.97520869184298)	(155, 38.00746756883286)	(160, 38.00153303734534)	(165, 37.90583137436448)	(170, 37.89938783558315)	(175, 37.85875673327938)	(180, 37.867699071553446)	(185, 37.84682117573235)	(190, 37.79529614611148)	(195, 37.77629711724012)	(200, 37.7487012093559)	(205, 37.699307021009005)	(210, 37.641081371947806)	(215, 37.606471151642005)	(220, 37.534828759973)	(225, 37.42571014431123)	(230, 37.307197608323875)	(235, 37.19535713352009)	(240, 37.05006782158978)	(245, 36.81187520332186)	(250, 34.778090636660075)
clean_SRR24510773_R2	(1, 31.43124119688069)	(2, 31.77382710959955)	(3, 31.998190708486494)	(4, 32.060760131459915)	(5, 31.972482737297742)	(6, 35.44822334444101)	(7, 35.47686282593013)	(8, 35.50435718620816)	(9, 35.45960584927914)	(10, 35.96406609639631)	(15, 36.76146667124715)	(20, 36.99761356739611)	(25, 37.35809085391689)	(30, 37.3590321435524)	(35, 37.352257379611515)	(40, 37.17854052094433)	(45, 37.26572837734987)	(50, 37.21253308088982)	(55, 37.26759910963026)	(60, 37.246225372462916)	(65, 37.21323753605806)	(70, 37.22283434526784)	(75, 37.153752931766945)	(80, 37.19760652226301)	(85, 37.203821685464675)	(90, 37.18781859694485)	(95, 37.14750546495823)	(100, 37.1991802940441)	(105, 37.1162083386266)	(110, 37.12206890582778)	(115, 37.06286278975407)	(120, 37.04589304703555)	(125, 37.08189040198269)	(130, 37.02508081107625)	(135, 36.95646406225717)	(140, 36.993618099711426)	(145, 36.909892033575524)	(150, 36.831507190042885)	(155, 36.88189674610266)	(160, 36.762702943848254)	(165, 36.637921055213)	(170, 36.54328297116993)	(175, 36.49134013366666)	(180, 36.41718055019991)	(185, 36.323840421685226)	(190, 36.28556340250412)	(195, 36.17249091575573)	(200, 35.95645391099204)	(205, 35.871001979496256)	(210, 35.702787563382515)	(215, 35.543512640738854)	(220, 35.28261452559789)	(225, 35.02210135599051)	(230, 34.85224403102783)	(235, 34.60668073088108)	(240, 34.39434238455131)	(245, 33.908867030163364)	(250, 30.476597859350143)
clean_SRR24510774_R1	(1, 32.821184216804234)	(2, 33.02481034400496)	(3, 33.22083114652417)	(4, 33.284498306216896)	(5, 33.06492676177299)	(6, 36.201288229400255)	(7, 36.21565914404313)	(8, 36.1805143375161)	(9, 36.155942554511185)	(10, 36.64629037644926)	(15, 37.474772651366955)	(20, 37.783741590724745)	(25, 38.20895271720978)	(30, 38.18927109068766)	(35, 38.1655382421142)	(40, 38.17792721047726)	(45, 38.15881679022385)	(50, 38.159960029728055)	(55, 38.15835520285837)	(60, 38.23238934637136)	(65, 38.14636237597006)	(70, 38.11885746474778)	(75, 38.090837926186836)	(80, 38.1047105661106)	(85, 38.0775575744793)	(90, 38.05905377430726)	(95, 38.04559362458408)	(100, 38.0739653454059)	(105, 38.045980879523356)	(110, 38.05974105835487)	(115, 37.90064648191623)	(120, 38.018561958928345)	(125, 38.00927311842362)	(130, 38.004636237505096)	(135, 37.975043038642184)	(140, 37.9464226478497)	(145, 37.94941517540758)	(150, 37.88490167471491)	(155, 37.89306327621314)	(160, 37.89388680753676)	(165, 37.79963022632465)	(170, 37.815111779060445)	(175, 37.77911391523777)	(180, 37.758080232375775)	(185, 37.73081640878425)	(190, 37.67215946488523)	(195, 37.64853208235206)	(200, 37.6277003462672)	(205, 37.570758495139955)	(210, 37.50098395988675)	(215, 37.43007618867769)	(220, 37.36947781986911)	(225, 37.245675467511056)	(230, 37.15081645876762)	(235, 37.01124043071101)	(240, 36.87362332210371)	(245, 36.61909266064108)	(250, 34.6004360208747)
clean_SRR24510774_R2	(1, 31.577327162555466)	(2, 31.877866310415573)	(3, 32.13419533374684)	(4, 32.1754854716351)	(5, 32.08452693353691)	(6, 35.525387661625075)	(7, 35.560427501312084)	(8, 35.57743212939549)	(9, 35.55727849611146)	(10, 36.06338470346867)	(15, 36.865539386421105)	(20, 37.11063123240613)	(25, 37.47820602127964)	(30, 37.4822025151749)	(35, 37.46853340047734)	(40, 37.29908252464573)	(45, 37.37350156369021)	(50, 37.316007849066835)	(55, 37.3535537419321)	(60, 37.34310597025427)	(65, 37.29988145159696)	(70, 37.28896453568642)	(75, 37.24256210059736)	(80, 37.30185055430392)	(85, 37.27962660962815)	(90, 37.2800963189212)	(95, 37.25987148000663)	(100, 37.28803924520501)	(105, 37.211686092341765)	(110, 37.22060967520214)	(115, 37.15259317462646)	(120, 37.153418131398624)	(125, 37.17737553238685)	(130, 37.13139458616795)	(135, 37.04630755874956)	(140, 37.077967619724895)	(145, 37.0067795130748)	(150, 36.943230562861274)	(155, 36.973507034913084)	(160, 36.8711883783957)	(165, 36.75765092453433)	(170, 36.678335945084356)	(175, 36.6172177418573)	(180, 36.52492771196306)	(185, 36.46987061963225)	(190, 36.4223481049391)	(195, 36.32017982740746)	(200, 36.09559340095567)	(205, 36.00689214779665)	(210, 35.85213184390858)	(215, 35.63303690640741)	(220, 35.39181296939297)	(225, 35.17334049623997)	(230, 35.024116000934995)	(235, 34.76061596512462)	(240, 34.55356144150748)	(245, 34.1154091221601)	(250, 30.745666935245417)
clean_SRR24510775_R1	(1, 31.58219052078804)	(2, 31.771022176138075)	(3, 32.03609893969295)	(4, 31.968433287620833)	(5, 31.573677960999433)	(6, 35.1636368197478)	(7, 35.100678997892764)	(8, 34.956049101916584)	(9, 35.05133458206509)	(10, 35.6603137438539)	(15, 36.540443857243204)	(20, 36.87587048867779)	(25, 37.12725189818377)	(30, 37.0905697879902)	(35, 37.117266317621336)	(40, 37.14033269585159)	(45, 37.20565526784908)	(50, 37.20067171614417)	(55, 37.2153062954191)	(60, 37.25211162553283)	(65, 37.179047511815)	(70, 37.0888666380257)	(75, 37.18339157332581)	(80, 37.18424268310631)	(85, 37.21870303923533)	(90, 37.23772437802297)	(95, 37.23037102703102)	(100, 37.25812412461037)	(105, 37.166767067335286)	(110, 37.209934760037086)	(115, 37.25057061707458)	(120, 37.21806026107447)	(125, 37.19214057905184)	(130, 37.17973628830304)	(135, 37.19519216471828)	(140, 37.14261010383487)	(145, 36.968400259957185)	(150, 37.15224384372973)	(155, 37.136388388019114)	(160, 37.13531609072048)	(165, 37.11476401937988)	(170, 37.048708921361275)	(175, 36.98676778887367)	(180, 36.972872288385375)	(185, 36.868478520833)	(190, 36.90106269328944)	(195, 36.78239162990496)	(200, 36.68575556728557)	(205, 36.62945857256884)	(210, 36.43241342165102)	(215, 36.32078560355637)	(220, 36.118079837291)	(225, 35.92107324726504)	(230, 35.772205480878824)	(235, 35.574058168108685)	(240, 35.40290095561511)	(245, 35.26546746313904)	(250, 33.67366652918332)
clean_SRR24510775_R2	(1, 30.078243636485265)	(2, 30.656972271465364)	(3, 31.097409439074156)	(4, 31.173470582332676)	(5, 31.16038398501522)	(6, 34.67303575609593)	(7, 34.444066294277015)	(8, 34.54798976485935)	(9, 34.69833093621433)	(10, 35.33846874268322)	(15, 36.15135799578553)	(20, 36.42909322005552)	(25, 36.674989129344084)	(30, 36.753718103659835)	(35, 36.714801874451396)	(40, 36.57780015668986)	(45, 36.32934688320755)	(50, 36.30155122456112)	(55, 36.302045990752916)	(60, 36.31692036995388)	(65, 36.24324353389663)	(70, 36.18214799852231)	(75, 36.21818997250404)	(80, 36.13120670134141)	(85, 36.14839494995901)	(90, 36.162822918850985)	(95, 36.12755537895498)	(100, 36.03454133280181)	(105, 35.99546027350087)	(110, 35.9423264547108)	(115, 35.916574712701404)	(120, 35.86523559909917)	(125, 35.82592983944036)	(130, 35.74705323831072)	(135, 35.64172540507796)	(140, 35.481087687724106)	(145, 35.435485439609806)	(150, 35.292552702202286)	(155, 35.16699395932475)	(160, 35.01002675989184)	(165, 34.85022540815535)	(170, 34.63839758261416)	(175, 34.36202669524552)	(180, 34.11850951863782)	(185, 33.964769738738944)	(190, 33.740162263350136)	(195, 33.45137235423755)	(200, 33.11119939813854)	(205, 32.77366192934113)	(210, 32.37088141248069)	(215, 31.94947788328667)	(220, 31.465110877288396)	(225, 31.16001734021402)	(230, 30.737512006144698)	(235, 30.22921877751089)	(240, 29.730147594475532)	(245, 29.193517759933222)	(250, 25.398427449116205)
clean_SRR24510776_R1	(1, 32.8251386696404)	(2, 33.01249837072224)	(3, 33.17384755753161)	(4, 33.23444220770757)	(5, 32.99572767165346)	(6, 36.17519442714594)	(7, 36.224217584613825)	(8, 36.187388666019785)	(9, 36.157163753276656)	(10, 36.62103144144014)	(15, 37.46932757896566)	(20, 37.775284218453564)	(25, 38.19835479152486)	(30, 38.17955654680009)	(35, 38.166280614060945)	(40, 38.18236339550557)	(45, 38.16346416237803)	(50, 38.168134990151074)	(55, 38.16971067005034)	(60, 38.239457720667716)	(65, 38.1546273264716)	(70, 38.13412225052393)	(75, 38.11264706350123)	(80, 38.11065004323102)	(85, 38.098762784293434)	(90, 38.086130345150806)	(95, 38.06801805945772)	(100, 38.08959281898915)	(105, 38.078412017481696)	(110, 38.082715730439915)	(115, 37.91548437972922)	(120, 38.04539281974861)	(125, 38.03356150123925)	(130, 38.028102760083726)	(135, 38.00139007646423)	(140, 37.97682983247116)	(145, 37.991570117353035)	(150, 37.9367619591679)	(155, 37.953912922759926)	(160, 37.94761603209306)	(165, 37.86176570110244)	(170, 37.86745446322884)	(175, 37.83102264135115)	(180, 37.82845112270155)	(185, 37.8014132210854)	(190, 37.74228755953551)	(195, 37.72211794899062)	(200, 37.71148541158991)	(205, 37.667910863075846)	(210, 37.609673396961384)	(215, 37.5614562053466)	(220, 37.486685283010715)	(225, 37.37354045224524)	(230, 37.279089208219744)	(235, 37.166082280306604)	(240, 37.01766527407895)	(245, 36.790320464044065)	(250, 34.73143643576246)
clean_SRR24510776_R2	(1, 31.04874799055743)	(2, 31.426248026763602)	(3, 31.703833509536707)	(4, 31.747816767802576)	(5, 31.657214441918057)	(6, 35.126721603498964)	(7, 35.13819171892424)	(8, 35.15651204217295)	(9, 35.168170429694854)	(10, 35.68534808614173)	(15, 36.47747831250271)	(20, 36.6867789540761)	(25, 37.03708091355414)	(30, 37.06244840620429)	(35, 37.040993712030016)	(40, 36.88973762333164)	(45, 36.94779393301812)	(50, 36.8952527456799)	(55, 36.93047056469363)	(60, 36.94364473508117)	(65, 36.90009566090944)	(70, 36.907287191350875)	(75, 36.843969150416136)	(80, 36.89909596529706)	(85, 36.90746687134935)	(90, 36.90444322865508)	(95, 36.85778117457981)	(100, 36.915077676432546)	(105, 36.83421020317287)	(110, 36.83062188567469)	(115, 36.77391055175121)	(120, 36.79103500243103)	(125, 36.80529250032619)	(130, 36.755874430744036)	(135, 36.676174469539866)	(140, 36.71763194271558)	(145, 36.636308690818666)	(150, 36.59858332985955)	(155, 36.617456356645995)	(160, 36.51634678378176)	(165, 36.386082729002865)	(170, 36.320967887562155)	(175, 36.26430906123502)	(180, 36.210869725156364)	(185, 36.12373028470466)	(190, 36.067620261826036)	(195, 35.95913698896688)	(200, 35.743255610132096)	(205, 35.611236532967894)	(210, 35.50292241048366)	(215, 35.31754058273738)	(220, 35.05471547788041)	(225, 34.81484130523302)	(230, 34.6977544762187)	(235, 34.45624474527166)	(240, 34.213678155246185)	(245, 33.78580916265561)	(250, 30.45826900860088)
clean_SRR24510777_R1	(1, 32.75820395778019)	(2, 32.96329963247315)	(3, 33.16846070340191)	(4, 33.21979674849916)	(5, 32.99670402971605)	(6, 36.166459578586654)	(7, 36.13747596688334)	(8, 36.139634042664504)	(9, 36.084622729115715)	(10, 36.59972533580967)	(15, 37.4713394457015)	(20, 37.77000405456662)	(25, 38.18929594412546)	(30, 38.1513609276207)	(35, 38.12855272567173)	(40, 38.13637867387238)	(45, 38.10328695827731)	(50, 38.090511878266)	(55, 38.09950078395244)	(60, 38.16862865519524)	(65, 38.07204798043706)	(70, 38.05349760174804)	(75, 38.02714303287897)	(80, 38.03188611285537)	(85, 37.990171434073076)	(90, 37.99442651791329)	(95, 37.97386155130222)	(100, 37.98860987554394)	(105, 37.95900508479343)	(110, 37.97736152033319)	(115, 37.8182964246711)	(120, 37.93527311706646)	(125, 37.92458547626787)	(130, 37.920530843417026)	(135, 37.89908387915709)	(140, 37.86047164622737)	(145, 37.86596024919128)	(150, 37.81389975856227)	(155, 37.83883025266836)	(160, 37.84218709282457)	(165, 37.735677174552016)	(170, 37.75039837357164)	(175, 37.6933478126656)	(180, 37.678118560715134)	(185, 37.655267537241045)	(190, 37.605016084531634)	(195, 37.568527996864056)	(200, 37.56149792350228)	(205, 37.510411358398834)	(210, 37.43322170532861)	(215, 37.37596011499194)	(220, 37.320210994858215)	(225, 37.15588480490264)	(230, 37.068767643409906)	(235, 36.90189818192448)	(240, 36.764579478562204)	(245, 36.514154830676624)	(250, 34.400046781721564)
clean_SRR24510777_R2	(1, 31.693069306930692)	(2, 31.881868239664126)	(3, 32.12393894607426)	(4, 32.16134559294767)	(5, 31.941535765201355)	(6, 35.46917875407092)	(7, 35.3719083929529)	(8, 35.46903488235217)	(9, 35.433171586643475)	(10, 35.95227121126908)	(15, 36.79058032619643)	(20, 37.009281033783694)	(25, 37.35742181880012)	(30, 37.35347854460599)	(35, 37.31364409666957)	(40, 37.161287524679)	(45, 37.27896134824253)	(50, 37.21447127321861)	(55, 37.253325323282276)	(60, 37.27291354417712)	(65, 37.21871830299187)	(70, 37.22286624667473)	(75, 37.15256819844441)	(80, 37.218139802237296)	(85, 37.20231339444498)	(90, 37.20006245752506)	(95, 37.15306906551025)	(100, 37.19985338891832)	(105, 37.118256843616216)	(110, 37.124944313748124)	(115, 37.057837519619646)	(120, 37.06635384674077)	(125, 37.082377738147656)	(130, 37.04818297878881)	(135, 36.95313519606555)	(140, 36.98713173549785)	(145, 36.89930583165166)	(150, 36.87777400180632)	(155, 36.91763011127623)	(160, 36.803448437286285)	(165, 36.70509017315406)	(170, 36.62601148629719)	(175, 36.572664112874826)	(180, 36.46890745433926)	(185, 36.4256701310883)	(190, 36.38212378005311)	(195, 36.284235841502785)	(200, 36.108781665561516)	(205, 36.039932437656454)	(210, 35.86619250846968)	(215, 35.68792317566722)	(220, 35.43461018323549)	(225, 35.225675977698096)	(230, 35.08548945508447)	(235, 34.832982261577875)	(240, 34.61000566723279)	(245, 34.166485474004205)	(250, 30.650000697489045)
