Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
clean_SRR24510773_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.5)	(20.0, 5.5)	(21.0, 11.0)	(22.0, 21.0)	(23.0, 40.5)	(24.0, 68.5)	(25.0, 121.0)	(26.0, 195.16666666666666)	(27.0, 277.00000000000006)	(28.0, 460.4999999999994)	(29.0, 712.6666666666677)	(30.0, 1009.500000000007)	(31.0, 1537.1666666666476)	(32.0, 2258.8333333333067)	(33.0, 3213.6666666667907)	(34.0, 4771.666666666688)	(35.0, 5977.166666666254)	(36.0, 6390.999999999454)	(37.0, 6705.833333332671)	(38.0, 6320.999999999491)	(39.0, 5579.1666666664105)	(40.0, 5033.666666666619)	(41.0, 4348.666666666847)	(42.0, 3407.333333333473)	(43.0, 2364.833333333326)	(44.0, 1794.833333333308)	(45.0, 1494.1666666666526)	(46.0, 1201.500000000001)	(47.0, 1014.1666666666815)	(48.0, 868.8333333333428)	(49.0, 674.5000000000018)	(50.0, 514.1666666666636)	(51.0, 410.99999999999847)	(52.0, 247.16666666666703)	(53.0, 133.49999999999997)	(54.0, 78.49999999999999)	(55.0, 53.0)	(56.0, 46.00000000000001)	(57.0, 32.5)	(58.0, 17.166666666666668)	(59.0, 8.333333333333332)	(60.0, 6.499999999999999)	(61.0, 7.499999999999999)	(62.0, 6.333333333333333)	(63.0, 3.5)	(64.0, 1.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.3333333333333333)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510773_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.3333333333333333)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.3333333333333333)	(15.0, 0.3333333333333333)	(16.0, 0.0)	(17.0, 0.3333333333333333)	(18.0, 1.0)	(19.0, 2.833333333333333)	(20.0, 6.0)	(21.0, 12.833333333333332)	(22.0, 23.833333333333332)	(23.0, 42.666666666666664)	(24.0, 74.0)	(25.0, 128.83333333333331)	(26.0, 205.16666666666669)	(27.0, 287.66666666666674)	(28.0, 451.1666666666659)	(29.0, 697.8333333333339)	(30.0, 1024.000000000008)	(31.0, 1573.666666666646)	(32.0, 2325.499999999985)	(33.0, 3254.8333333334626)	(34.0, 4730.833333333404)	(35.0, 5887.666666666294)	(36.0, 6433.833333332758)	(37.0, 6773.666666665944)	(38.0, 6339.166666666123)	(39.0, 5586.999999999752)	(40.0, 5003.499999999958)	(41.0, 4270.666666666876)	(42.0, 3368.833333333464)	(43.0, 2346.999999999994)	(44.0, 1801.3333333333092)	(45.0, 1509.333333333319)	(46.0, 1230.4999999999995)	(47.0, 1016.3333333333482)	(48.0, 855.0000000000093)	(49.0, 678.333333333335)	(50.0, 500.6666666666636)	(51.0, 395.6666666666653)	(52.0, 242.666666666667)	(53.0, 140.33333333333326)	(54.0, 83.5)	(55.0, 51.50000000000001)	(56.0, 43.666666666666664)	(57.0, 31.0)	(58.0, 17.5)	(59.0, 9.333333333333332)	(60.0, 8.333333333333332)	(61.0, 10.166666666666666)	(62.0, 7.833333333333333)	(63.0, 4.5)	(64.0, 1.8333333333333333)	(65.0, 0.3333333333333333)	(66.0, 0.0)	(67.0, 0.3333333333333333)	(68.0, 0.3333333333333333)	(69.0, 0.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510774_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.5)	(19.0, 3.333333333333333)	(20.0, 5.333333333333333)	(21.0, 9.833333333333336)	(22.0, 19.999999999999996)	(23.0, 42.166666666666664)	(24.0, 77.0)	(25.0, 116.83333333333333)	(26.0, 196.50000000000006)	(27.0, 347.33333333333314)	(28.0, 584.8333333333335)	(29.0, 880.6666666666695)	(30.0, 1216.666666666667)	(31.0, 1837.999999999965)	(32.0, 2710.500000000036)	(33.0, 3724.000000000198)	(34.0, 5218.66666666655)	(35.0, 6830.833333332526)	(36.0, 7058.166666665839)	(37.0, 7549.833333332267)	(38.0, 7344.999999999006)	(39.0, 6498.833333332721)	(40.0, 6034.999999999551)	(41.0, 5266.499999999891)	(42.0, 4185.833333333559)	(43.0, 2875.0000000000514)	(44.0, 2151.6666666666383)	(45.0, 1776.3333333332987)	(46.0, 1487.6666666666508)	(47.0, 1288.4999999999943)	(48.0, 1064.8333333333474)	(49.0, 884.5000000000116)	(50.0, 676.1666666666692)	(51.0, 560.1666666666648)	(52.0, 393.9999999999994)	(53.0, 268.8333333333335)	(54.0, 241.5000000000004)	(55.0, 267.3333333333336)	(56.0, 280.6666666666667)	(57.0, 241.16666666666688)	(58.0, 169.16666666666666)	(59.0, 99.16666666666664)	(60.0, 61.0)	(61.0, 45.66666666666667)	(62.0, 32.66666666666666)	(63.0, 22.333333333333332)	(64.0, 19.83333333333333)	(65.0, 16.16666666666667)	(66.0, 10.833333333333334)	(67.0, 7.166666666666667)	(68.0, 3.833333333333333)	(69.0, 3.1666666666666665)	(70.0, 3.1666666666666665)	(71.0, 1.3333333333333333)	(72.0, 0.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510774_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.6666666666666666)	(14.0, 0.6666666666666666)	(15.0, 0.3333333333333333)	(16.0, 0.3333333333333333)	(17.0, 1.1666666666666665)	(18.0, 2.5)	(19.0, 4.166666666666666)	(20.0, 8.833333333333334)	(21.0, 12.333333333333334)	(22.0, 20.833333333333332)	(23.0, 49.16666666666668)	(24.0, 87.49999999999999)	(25.0, 132.33333333333334)	(26.0, 208.50000000000006)	(27.0, 343.33333333333326)	(28.0, 588.1666666666666)	(29.0, 865.0000000000028)	(30.0, 1197.1666666666665)	(31.0, 1873.9999999999648)	(32.0, 2700.333333333361)	(33.0, 3717.333333333533)	(34.0, 5222.333333333211)	(35.0, 6888.833333332496)	(36.0, 7034.4999999991705)	(37.0, 7382.499999999019)	(38.0, 7310.166666665687)	(39.0, 6513.833333332712)	(40.0, 6085.1666666662)	(41.0, 5290.16666666653)	(42.0, 4161.000000000216)	(43.0, 2873.6666666667184)	(44.0, 2189.166666666641)	(45.0, 1814.666666666633)	(46.0, 1487.6666666666504)	(47.0, 1305.4999999999925)	(48.0, 1088.3333333333449)	(49.0, 872.1666666666778)	(50.0, 657.3333333333358)	(51.0, 544.1666666666644)	(52.0, 405.9999999999992)	(53.0, 286.0000000000003)	(54.0, 226.16666666666694)	(55.0, 246.00000000000034)	(56.0, 259.66666666666697)	(57.0, 213.3333333333334)	(58.0, 166.50000000000006)	(59.0, 118.16666666666664)	(60.0, 83.99999999999999)	(61.0, 60.16666666666668)	(62.0, 37.5)	(63.0, 21.499999999999996)	(64.0, 16.5)	(65.0, 14.000000000000002)	(66.0, 13.333333333333336)	(67.0, 9.333333333333334)	(68.0, 4.999999999999999)	(69.0, 1.9999999999999998)	(70.0, 3.0)	(71.0, 1.6666666666666665)	(72.0, 0.6666666666666666)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510775_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 4.5)	(21.0, 7.5)	(22.0, 11.0)	(23.0, 26.0)	(24.0, 61.5)	(25.0, 113.83333333333333)	(26.0, 204.83333333333334)	(27.0, 368.99999999999994)	(28.0, 705.1666666666671)	(29.0, 1060.3333333333358)	(30.0, 1295.4999999999973)	(31.0, 2073.3333333332994)	(32.0, 3436.5000000001105)	(33.0, 4865.833333333326)	(34.0, 6546.3333333327355)	(35.0, 7884.8333333323335)	(36.0, 8108.9999999990405)	(37.0, 8429.333333332514)	(38.0, 8557.666666665846)	(39.0, 7551.4999999991005)	(40.0, 7085.499999999242)	(41.0, 6522.666666666119)	(42.0, 5258.4999999998445)	(43.0, 3698.666666666809)	(44.0, 2839.5000000000364)	(45.0, 2351.499999999995)	(46.0, 1840.8333333332985)	(47.0, 1588.1666666666383)	(48.0, 1470.8333333333123)	(49.0, 1091.500000000007)	(50.0, 758.6666666666722)	(51.0, 596.0000000000001)	(52.0, 387.9999999999997)	(53.0, 268.83333333333337)	(54.0, 159.50000000000003)	(55.0, 85.33333333333331)	(56.0, 63.33333333333333)	(57.0, 51.666666666666664)	(58.0, 29.833333333333332)	(59.0, 13.666666666666666)	(60.0, 7.0)	(61.0, 4.0)	(62.0, 2.5)	(63.0, 1.5)	(64.0, 0.5)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.5)	(68.0, 0.5)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510775_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.3333333333333333)	(14.0, 0.3333333333333333)	(15.0, 0.6666666666666666)	(16.0, 0.0)	(17.0, 0.5)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 4.5)	(21.0, 7.5)	(22.0, 11.833333333333334)	(23.0, 26.0)	(24.0, 61.0)	(25.0, 115.83333333333334)	(26.0, 210.33333333333334)	(27.0, 364.9999999999999)	(28.0, 693.0000000000006)	(29.0, 1050.3333333333355)	(30.0, 1317.1666666666606)	(31.0, 2115.3333333333003)	(32.0, 3458.6666666667666)	(33.0, 4886.666666666647)	(34.0, 6609.999999999408)	(35.0, 7866.166666665659)	(36.0, 7974.999999999045)	(37.0, 8294.833333332388)	(38.0, 8500.333333332504)	(39.0, 7569.8333333324235)	(40.0, 7079.333333332584)	(41.0, 6523.833333332792)	(42.0, 5327.166666666493)	(43.0, 3701.833333333469)	(44.0, 2843.3333333333762)	(45.0, 2323.666666666661)	(46.0, 1822.3333333333003)	(47.0, 1552.4999999999734)	(48.0, 1450.3333333333119)	(49.0, 1119.6666666666729)	(50.0, 802.3333333333393)	(51.0, 620.6666666666667)	(52.0, 432.9999999999988)	(53.0, 310.8333333333332)	(54.0, 169.66666666666674)	(55.0, 79.33333333333333)	(56.0, 60.5)	(57.0, 50.83333333333333)	(58.0, 31.666666666666664)	(59.0, 16.833333333333336)	(60.0, 13.5)	(61.0, 7.833333333333334)	(62.0, 2.833333333333333)	(63.0, 1.6666666666666665)	(64.0, 0.3333333333333333)	(65.0, 1.3333333333333333)	(66.0, 0.0)	(67.0, 1.0)	(68.0, 0.3333333333333333)	(69.0, 0.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.3333333333333333)	(72.0, 0.6666666666666666)	(73.0, 0.3333333333333333)	(74.0, 0.6666666666666666)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.6666666666666666)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.3333333333333333)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510776_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 1.5)	(21.0, 2.0)	(22.0, 4.833333333333333)	(23.0, 12.5)	(24.0, 24.333333333333332)	(25.0, 42.16666666666667)	(26.0, 63.5)	(27.0, 100.33333333333331)	(28.0, 181.00000000000006)	(29.0, 319.49999999999994)	(30.0, 532.4999999999967)	(31.0, 893.0000000000135)	(32.0, 1343.499999999988)	(33.0, 1997.333333333243)	(34.0, 3099.6666666668457)	(35.0, 4161.33333333377)	(36.0, 4412.666666666965)	(37.0, 4870.000000000014)	(38.0, 4628.333333333501)	(39.0, 4043.6666666671113)	(40.0, 3792.6666666670444)	(41.0, 3015.0000000001532)	(42.0, 2259.499999999956)	(43.0, 1450.9999999999795)	(44.0, 1058.000000000014)	(45.0, 860.3333333333444)	(46.0, 684.0000000000034)	(47.0, 637.3333333333347)	(48.0, 568.1666666666637)	(49.0, 422.6666666666627)	(50.0, 265.1666666666677)	(51.0, 187.66666666666703)	(52.0, 106.49999999999993)	(53.0, 66.33333333333334)	(54.0, 44.50000000000001)	(55.0, 28.499999999999993)	(56.0, 23.5)	(57.0, 15.666666666666668)	(58.0, 9.5)	(59.0, 7.833333333333333)	(60.0, 6.666666666666666)	(61.0, 3.5)	(62.0, 2.1666666666666665)	(63.0, 1.8333333333333333)	(64.0, 1.4999999999999998)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510776_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.3333333333333333)	(16.0, 0.5)	(17.0, 0.5)	(18.0, 0.0)	(19.0, 0.5)	(20.0, 4.0)	(21.0, 5.5)	(22.0, 5.166666666666667)	(23.0, 12.833333333333334)	(24.0, 29.166666666666664)	(25.0, 46.333333333333336)	(26.0, 70.33333333333333)	(27.0, 116.99999999999991)	(28.0, 193.50000000000017)	(29.0, 328.4999999999998)	(30.0, 560.8333333333311)	(31.0, 892.5000000000136)	(32.0, 1355.6666666666508)	(33.0, 2023.4999999999013)	(34.0, 3073.666666666836)	(35.0, 4127.8333333337905)	(36.0, 4393.833333333634)	(37.0, 4817.500000000053)	(38.0, 4649.66666666682)	(39.0, 4066.000000000451)	(40.0, 3765.50000000038)	(41.0, 2982.3333333334763)	(42.0, 2210.3333333332816)	(43.0, 1477.6666666666426)	(44.0, 1051.5000000000136)	(45.0, 859.0000000000099)	(46.0, 721.5000000000047)	(47.0, 639.3333333333346)	(48.0, 565.1666666666638)	(49.0, 426.33333333332973)	(50.0, 265.00000000000125)	(51.0, 180.8333333333335)	(52.0, 109.16666666666659)	(53.0, 65.83333333333334)	(54.0, 40.66666666666667)	(55.0, 31.999999999999993)	(56.0, 20.5)	(57.0, 13.5)	(58.0, 9.5)	(59.0, 8.833333333333332)	(60.0, 7.5)	(61.0, 3.3333333333333335)	(62.0, 2.1666666666666665)	(63.0, 1.0)	(64.0, 1.5)	(65.0, 0.5)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510777_R1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.3333333333333333)	(15.0, 0.8333333333333333)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 0.5)	(19.0, 0.0)	(20.0, 1.1666666666666665)	(21.0, 4.0)	(22.0, 6.666666666666666)	(23.0, 27.999999999999996)	(24.0, 59.000000000000014)	(25.0, 89.16666666666667)	(26.0, 116.49999999999999)	(27.0, 216.3333333333336)	(28.0, 466.99999999999807)	(29.0, 637.3333333333339)	(30.0, 721.3333333333355)	(31.0, 1232.5000000000007)	(32.0, 1917.6666666666092)	(33.0, 2805.0000000000764)	(34.0, 3941.8333333336705)	(35.0, 4815.666666666704)	(36.0, 4537.166666666814)	(37.0, 4521.666666666811)	(38.0, 4577.333333333467)	(39.0, 3831.333333333617)	(40.0, 3633.0000000002365)	(41.0, 3564.3333333335577)	(42.0, 2977.5000000001082)	(43.0, 1891.4999999999466)	(44.0, 1410.6666666666558)	(45.0, 1278.4999999999977)	(46.0, 1125.6666666666736)	(47.0, 1033.166666666684)	(48.0, 876.5000000000118)	(49.0, 718.6666666666708)	(50.0, 589.4999999999993)	(51.0, 577.6666666666653)	(52.0, 482.4999999999978)	(53.0, 417.49999999999875)	(54.0, 413.66666666666515)	(55.0, 437.4999999999987)	(56.0, 431.99999999999903)	(57.0, 374.6666666666663)	(58.0, 297.8333333333335)	(59.0, 205.00000000000014)	(60.0, 130.99999999999991)	(61.0, 90.66666666666663)	(62.0, 68.83333333333334)	(63.0, 44.333333333333336)	(64.0, 27.83333333333332)	(65.0, 21.83333333333333)	(66.0, 17.0)	(67.0, 9.166666666666666)	(68.0, 7.499999999999997)	(69.0, 6.499999999999999)	(70.0, 4.5)	(71.0, 2.1666666666666665)	(72.0, 1.3333333333333333)	(73.0, 2.333333333333333)	(74.0, 1.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
clean_SRR24510777_R2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.3333333333333333)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.6666666666666666)	(15.0, 0.5)	(16.0, 1.5)	(17.0, 1.3333333333333333)	(18.0, 0.6666666666666666)	(19.0, 2.333333333333333)	(20.0, 3.8333333333333335)	(21.0, 7.166666666666666)	(22.0, 10.500000000000002)	(23.0, 25.333333333333332)	(24.0, 55.50000000000001)	(25.0, 96.49999999999997)	(26.0, 120.49999999999996)	(27.0, 224.166666666667)	(28.0, 463.1666666666652)	(29.0, 611.6666666666662)	(30.0, 710.5000000000022)	(31.0, 1255.1666666666645)	(32.0, 1936.8333333332728)	(33.0, 2797.5000000000714)	(34.0, 3845.1666666669953)	(35.0, 4705.833333333422)	(36.0, 4597.666666666784)	(37.0, 4549.833333333462)	(38.0, 4581.833333333469)	(39.0, 3841.3333333336195)	(40.0, 3531.1666666668793)	(41.0, 3553.5000000002237)	(42.0, 3053.6666666667807)	(43.0, 1910.6666666666126)	(44.0, 1379.6666666666563)	(45.0, 1278.4999999999973)	(46.0, 1159.6666666666722)	(47.0, 1065.3333333333474)	(48.0, 912.5000000000124)	(49.0, 729.6666666666705)	(50.0, 563.9999999999987)	(51.0, 553.8333333333317)	(52.0, 477.33333333333076)	(53.0, 415.3333333333323)	(54.0, 394.16666666666583)	(55.0, 399.16666666666544)	(56.0, 396.8333333333324)	(57.0, 375.6666666666664)	(58.0, 330.1666666666667)	(59.0, 252.3333333333335)	(60.0, 189.00000000000006)	(61.0, 131.99999999999991)	(62.0, 86.66666666666663)	(63.0, 58.333333333333364)	(64.0, 37.833333333333336)	(65.0, 23.333333333333325)	(66.0, 18.000000000000004)	(67.0, 10.666666666666666)	(68.0, 6.999999999999998)	(69.0, 6.999999999999998)	(70.0, 5.499999999999999)	(71.0, 3.5)	(72.0, 2.1666666666666665)	(73.0, 1.3333333333333333)	(74.0, 1.6666666666666665)	(75.0, 1.4999999999999998)	(76.0, 0.6666666666666666)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
