Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
clean_SRR24510773_R1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 3.0)	(22.0, 11.0)	(23.0, 38.0)	(24.0, 61.0)	(25.0, 76.0)	(26.0, 126.0)	(27.0, 191.0)	(28.0, 290.0)	(29.0, 391.0)	(30.0, 647.0)	(31.0, 753.0)	(32.0, 984.0)	(33.0, 1235.0)	(34.0, 1716.0)	(35.0, 2407.0)	(36.0, 4192.0)	(37.0, 11280.0)	(38.0, 62923.0)			
clean_SRR24510773_R2	(17.0, 9.0)	(18.0, 21.0)	(19.0, 47.0)	(20.0, 103.0)	(21.0, 153.0)	(22.0, 225.0)	(23.0, 288.0)	(24.0, 370.0)	(25.0, 485.0)	(26.0, 587.0)	(27.0, 754.0)	(28.0, 933.0)	(29.0, 1103.0)	(30.0, 1265.0)	(31.0, 1415.0)	(32.0, 1676.0)	(33.0, 2105.0)	(34.0, 2735.0)	(35.0, 4077.0)	(36.0, 6815.0)	(37.0, 18719.0)	(38.0, 43442.0)		
clean_SRR24510774_R1	(19.0, 3.0)	(20.0, 9.0)	(21.0, 24.0)	(22.0, 61.0)	(23.0, 73.0)	(24.0, 85.0)	(25.0, 125.0)	(26.0, 199.0)	(27.0, 284.0)	(28.0, 387.0)	(29.0, 565.0)	(30.0, 778.0)	(31.0, 992.0)	(32.0, 1276.0)	(33.0, 1592.0)	(34.0, 2107.0)	(35.0, 2963.0)	(36.0, 5176.0)	(37.0, 13781.0)	(38.0, 74315.0)				
clean_SRR24510774_R2	(16.0, 2.0)	(17.0, 11.0)	(18.0, 41.0)	(19.0, 81.0)	(20.0, 149.0)	(21.0, 198.0)	(22.0, 256.0)	(23.0, 327.0)	(24.0, 393.0)	(25.0, 516.0)	(26.0, 638.0)	(27.0, 814.0)	(28.0, 1044.0)	(29.0, 1186.0)	(30.0, 1423.0)	(31.0, 1683.0)	(32.0, 1972.0)	(33.0, 2414.0)	(34.0, 3198.0)	(35.0, 4531.0)	(36.0, 7765.0)	(37.0, 21530.0)	(38.0, 54623.0)	
clean_SRR24510775_R1	(19.0, 3.0)	(20.0, 8.0)	(21.0, 29.0)	(22.0, 43.0)	(23.0, 89.0)	(24.0, 117.0)	(25.0, 216.0)	(26.0, 348.0)	(27.0, 497.0)	(28.0, 762.0)	(29.0, 1134.0)	(30.0, 1604.0)	(31.0, 2107.0)	(32.0, 3022.0)	(33.0, 4123.0)	(34.0, 5769.0)	(35.0, 8542.0)	(36.0, 13732.0)	(37.0, 30550.0)	(38.0, 46893.0)				
clean_SRR24510775_R2	(16.0, 1.0)	(17.0, 14.0)	(18.0, 37.0)	(19.0, 57.0)	(20.0, 112.0)	(21.0, 158.0)	(22.0, 254.0)	(23.0, 368.0)	(24.0, 547.0)	(25.0, 681.0)	(26.0, 948.0)	(27.0, 1369.0)	(28.0, 1733.0)	(29.0, 2322.0)	(30.0, 2908.0)	(31.0, 3972.0)	(32.0, 5250.0)	(33.0, 7021.0)	(34.0, 9424.0)	(35.0, 13411.0)	(36.0, 19473.0)	(37.0, 32376.0)	(38.0, 17152.0)	
clean_SRR24510776_R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 3.0)	(21.0, 4.0)	(22.0, 16.0)	(23.0, 23.0)	(24.0, 53.0)	(25.0, 76.0)	(26.0, 100.0)	(27.0, 166.0)	(28.0, 270.0)	(29.0, 355.0)	(30.0, 437.0)	(31.0, 579.0)	(32.0, 869.0)	(33.0, 1095.0)	(34.0, 1427.0)	(35.0, 1944.0)	(36.0, 3267.0)	(37.0, 8623.0)	(38.0, 49740.0)			
clean_SRR24510776_R2	(17.0, 4.0)	(18.0, 25.0)	(19.0, 48.0)	(20.0, 134.0)	(21.0, 212.0)	(22.0, 292.0)	(23.0, 342.0)	(24.0, 431.0)	(25.0, 598.0)	(26.0, 621.0)	(27.0, 749.0)	(28.0, 858.0)	(29.0, 981.0)	(30.0, 1063.0)	(31.0, 1307.0)	(32.0, 1532.0)	(33.0, 1789.0)	(34.0, 2428.0)	(35.0, 3275.0)	(36.0, 5668.0)	(37.0, 14188.0)	(38.0, 32504.0)		
clean_SRR24510777_R1	(18.0, 1.0)	(19.0, 6.0)	(20.0, 18.0)	(21.0, 38.0)	(22.0, 61.0)	(23.0, 88.0)	(24.0, 111.0)	(25.0, 150.0)	(26.0, 163.0)	(27.0, 269.0)	(28.0, 325.0)	(29.0, 445.0)	(30.0, 576.0)	(31.0, 668.0)	(32.0, 929.0)	(33.0, 1162.0)	(34.0, 1522.0)	(35.0, 2298.0)	(36.0, 3853.0)	(37.0, 9822.0)	(38.0, 53952.0)			
clean_SRR24510777_R2	(15.0, 1.0)	(16.0, 2.0)	(17.0, 8.0)	(18.0, 33.0)	(19.0, 88.0)	(20.0, 111.0)	(21.0, 183.0)	(22.0, 222.0)	(23.0, 307.0)	(24.0, 411.0)	(25.0, 439.0)	(26.0, 564.0)	(27.0, 667.0)	(28.0, 889.0)	(29.0, 935.0)	(30.0, 1132.0)	(31.0, 1288.0)	(32.0, 1512.0)	(33.0, 1882.0)	(34.0, 2363.0)	(35.0, 3297.0)	(36.0, 5356.0)	(37.0, 13941.0)	(38.0, 40826.0)
