Sample	Unique Reads	Duplicate Reads
clean_SRR24510773_R1	23895.0	63432.0
clean_SRR24510773_R2	28226.0	59101.0
clean_SRR24510774_R1	29157.0	75638.0
clean_SRR24510774_R2	33282.0	71513.0
clean_SRR24510775_R1	28497.0	91091.0
clean_SRR24510775_R2	31627.0	87961.0
clean_SRR24510776_R1	23297.0	45752.0
clean_SRR24510776_R2	27354.0	41695.0
clean_SRR24510777_R1	22669.0	53788.0
clean_SRR24510777_R2	25762.0	50695.0
clean_SRR24510778_R1	17328.0	22354.0
clean_SRR24510778_R2	18704.0	20978.0
clean_SRR24510779_R1	11783.0	11872.0
clean_SRR24510779_R2	12729.0	10926.0
clean_SRR24510780_R1	16087.0	22137.0
clean_SRR24510780_R2	18301.0	19923.0
clean_SRR24510782_R1	14433.0	15411.0
clean_SRR24510782_R2	16103.0	13741.0
clean_SRR37461704_R1	18080.0	40569.0
clean_SRR37461704_R2	19400.0	39249.0
clean_SRR37461705_R1	19322.0	37569.0
clean_SRR37461705_R2	19399.0	37492.0
clean_SRR37461706_R1	16758.0	28946.0
clean_SRR37461706_R2	18042.0	27662.0
clean_SRR37461707_R1	20005.0	44475.0
clean_SRR37461707_R2	22318.0	42162.0
clean_SRR37461708_R1	13646.0	31021.0
clean_SRR37461708_R2	14372.0	30295.0
clean_SRR37461709_R1	17241.0	32581.0
clean_SRR37461709_R2	18017.0	31805.0
clean_SRR37461710_R1	18899.0	37747.0
clean_SRR37461710_R2	19029.0	37617.0
clean_SRR37461711_R1	16456.0	36809.0
clean_SRR37461711_R2	20606.0	32659.0
clean_SRR37461712_R1	14788.0	20201.0
clean_SRR37461712_R2	15976.0	19013.0
clean_SRR37461713_R1	11587.0	18702.0
clean_SRR37461713_R2	12186.0	18103.0
