Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
clean_SRR24510773_R1	(1.0, 13.878869078291936)	(2.0, 8.391448234795654)	(3.0, 7.214263629805215)	(4.0, 5.908825449173795)	(5.0, 4.998454086365042)	(6.0, 4.727060359339036)	(7.0, 3.8235597237967642)	(8.0, 3.719353693588466)	(9.0, 3.462846542306503)	('>10', 38.03405590481753)	('>50', 4.607967753386696)	('>100', 1.2332955443333677)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510773_R2	(1.0, 19.24834243704696)	(2.0, 8.549474961924721)	(3.0, 6.908516266446803)	(4.0, 5.611093934292945)	(5.0, 5.009905298475844)	(6.0, 4.424748359613865)	(7.0, 3.6632427542455366)	(8.0, 3.343753936354163)	(9.0, 3.019684633618468)	('>10', 35.380810058744714)	('>50', 3.6609525118233766)	('>100', 1.1794748474125987)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510774_R1	(1.0, 15.252636099050527)	(2.0, 7.549978529509996)	(3.0, 6.249343957249868)	(4.0, 5.5537000811107395)	(5.0, 4.85710196097142)	(6.0, 4.397156352879431)	(7.0, 3.927668304785534)	(8.0, 3.5726895367145377)	(9.0, 3.263514480652703)	('>10', 38.49611145569922)	('>50', 5.176773701035355)	('>100', 1.7033255403406653)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510774_R2	(1.0, 19.434133307886828)	(2.0, 7.630135025526028)	(3.0, 6.226442101245288)	(4.0, 5.610954721122191)	(5.0, 4.8714156209742825)	(6.0, 4.288372536857675)	(7.0, 3.7205973567441193)	(8.0, 3.2138937926427786)	(9.0, 2.885633856577127)	('>10', 35.45779855909156)	('>50', 5.177727945035546)	('>100', 1.4828951762965792)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510775_R1	(1.0, 12.994614844298761)	(2.0, 6.04241228216878)	(3.0, 5.210389002241027)	(4.0, 4.545606582600261)	(5.0, 4.080676991002441)	(6.0, 3.537144195069739)	(7.0, 3.5237649262467805)	(8.0, 2.9099909689935446)	(9.0, 2.807137839917049)	('>10', 41.790982372813325)	('>50', 9.143894036190922)	('>100', 3.4133859584573703)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510775_R2	(1.0, 15.799244071311502)	(2.0, 5.942067765996589)	(3.0, 5.200354550623809)	(4.0, 4.472020604073988)	(5.0, 3.8590828511221864)	(6.0, 3.7579021306485596)	(7.0, 3.1784125497541558)	(8.0, 3.0571629260460917)	(9.0, 2.7619828076395625)	('>10', 40.02491888818276)	('>50', 8.968291132889588)	('>100', 2.9785597217112088)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510776_R1	(1.0, 17.418065431794812)	(2.0, 11.278946834856406)	(3.0, 9.58449796521311)	(4.0, 7.698880505148517)	(5.0, 6.560558444003534)	(6.0, 5.3092731248823295)	(7.0, 4.440324986603716)	(8.0, 4.008747411258671)	(9.0, 3.467103071731669)	('>10', 28.644875378354502)	('>50', 1.5887268461527322)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510776_R2	(1.0, 23.968486147518426)	(2.0, 11.241292415531)	(3.0, 9.25864241335863)	(4.0, 7.768396356210807)	(5.0, 5.9233298092658835)	(6.0, 4.674940983938942)	(7.0, 4.298396790684876)	(8.0, 3.487378528291503)	(9.0, 3.349795073064056)	('>10', 24.956190531361784)	('>50', 1.073150950774088)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510777_R1	(1.0, 19.131014818787033)	(2.0, 6.667800201420407)	(3.0, 5.403037001190211)	(4.0, 4.221980982774632)	(5.0, 3.701426945864996)	(6.0, 3.2331898975894946)	(7.0, 2.737486430281073)	(8.0, 2.8460441816969015)	(9.0, 2.5896909373896437)	('>10', 35.078540879186995)	('>50', 8.785330316386988)	('>100', 5.604457407431628)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
clean_SRR24510777_R2	(1.0, 23.2509776737251)	(2.0, 6.976470434361798)	(3.0, 5.230390938697568)	(4.0, 4.462639130491649)	(5.0, 3.524857109224793)	(6.0, 3.186104607818774)	(7.0, 2.5635324430725768)	(8.0, 2.469361863531135)	(9.0, 2.2718652314372783)	('>10', 33.15719947159842)	('>50', 7.582039577801902)	('>100', 5.32456151823901)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
