Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
clean_SRR24510773_R1	(30, 1.0)	(35, 369.0)	(40, 545.0)	(45, 702.0)	(50, 782.0)	(55, 858.0)	(60, 971.0)	(65, 993.0)	(70, 1105.0)	(75, 1049.0)	(80, 1147.0)	(85, 1161.0)	(90, 1288.0)	(95, 1239.0)	(100, 1242.0)	(105, 1346.0)	(110, 1364.0)	(115, 1333.0)	(120, 1500.0)	(125, 1362.0)	(130, 1436.0)	(135, 1372.0)	(140, 1461.0)	(145, 1464.0)	(150, 1414.0)	(155, 1458.0)	(160, 1333.0)	(165, 1365.0)	(170, 1396.0)	(175, 1344.0)	(180, 1417.0)	(185, 1335.0)	(190, 1279.0)	(195, 1303.0)	(200, 1288.0)	(205, 1281.0)	(210, 1318.0)	(215, 1314.0)	(220, 1299.0)	(225, 1232.0)	(230, 1164.0)	(235, 1098.0)	(240, 1176.0)	(245, 3746.0)	(250, 32677.0)
clean_SRR24510773_R2	(30, 1.0)	(35, 369.0)	(40, 542.0)	(45, 701.0)	(50, 786.0)	(55, 859.0)	(60, 976.0)	(65, 993.0)	(70, 1104.0)	(75, 1052.0)	(80, 1147.0)	(85, 1160.0)	(90, 1289.0)	(95, 1239.0)	(100, 1241.0)	(105, 1347.0)	(110, 1362.0)	(115, 1334.0)	(120, 1499.0)	(125, 1365.0)	(130, 1435.0)	(135, 1371.0)	(140, 1461.0)	(145, 1470.0)	(150, 1413.0)	(155, 1455.0)	(160, 1333.0)	(165, 1358.0)	(170, 1404.0)	(175, 1344.0)	(180, 1414.0)	(185, 1336.0)	(190, 1272.0)	(195, 1303.0)	(200, 1282.0)	(205, 1282.0)	(210, 1315.0)	(215, 1307.0)	(220, 1290.0)	(225, 1231.0)	(230, 1160.0)	(235, 1095.0)	(240, 1183.0)	(245, 3848.0)	(250, 32599.0)
clean_SRR24510774_R1	(30, 18.0)	(35, 447.0)	(40, 617.0)	(45, 833.0)	(50, 953.0)	(55, 1023.0)	(60, 1080.0)	(65, 1221.0)	(70, 1271.0)	(75, 1246.0)	(80, 1356.0)	(85, 1358.0)	(90, 1438.0)	(95, 1323.0)	(100, 1449.0)	(105, 1500.0)	(110, 1518.0)	(115, 1536.0)	(120, 1657.0)	(125, 1556.0)	(130, 1707.0)	(135, 1632.0)	(140, 1617.0)	(145, 1624.0)	(150, 1715.0)	(155, 1696.0)	(160, 1622.0)	(165, 1609.0)	(170, 1644.0)	(175, 1572.0)	(180, 1630.0)	(185, 1569.0)	(190, 1522.0)	(195, 1640.0)	(200, 1569.0)	(205, 1548.0)	(210, 1534.0)	(215, 1584.0)	(220, 1546.0)	(225, 1408.0)	(230, 1473.0)	(235, 1398.0)	(240, 1410.0)	(245, 4801.0)	(250, 40325.0)
clean_SRR24510774_R2	(30, 18.0)	(35, 449.0)	(40, 616.0)	(45, 836.0)	(50, 954.0)	(55, 1025.0)	(60, 1085.0)	(65, 1219.0)	(70, 1274.0)	(75, 1249.0)	(80, 1358.0)	(85, 1356.0)	(90, 1442.0)	(95, 1326.0)	(100, 1447.0)	(105, 1506.0)	(110, 1521.0)	(115, 1536.0)	(120, 1657.0)	(125, 1559.0)	(130, 1710.0)	(135, 1639.0)	(140, 1623.0)	(145, 1626.0)	(150, 1719.0)	(155, 1699.0)	(160, 1619.0)	(165, 1607.0)	(170, 1647.0)	(175, 1572.0)	(180, 1628.0)	(185, 1565.0)	(190, 1525.0)	(195, 1634.0)	(200, 1560.0)	(205, 1539.0)	(210, 1527.0)	(215, 1584.0)	(220, 1544.0)	(225, 1401.0)	(230, 1462.0)	(235, 1393.0)	(240, 1416.0)	(245, 4701.0)	(250, 40422.0)
clean_SRR24510775_R1	(30, 3.0)	(35, 292.0)	(40, 537.0)	(45, 796.0)	(50, 969.0)	(55, 1179.0)	(60, 1270.0)	(65, 1430.0)	(70, 1509.0)	(75, 1709.0)	(80, 1757.0)	(85, 1800.0)	(90, 2027.0)	(95, 1887.0)	(100, 2011.0)	(105, 1984.0)	(110, 2157.0)	(115, 2107.0)	(120, 2290.0)	(125, 2110.0)	(130, 2369.0)	(135, 2279.0)	(140, 2256.0)	(145, 2343.0)	(150, 2296.0)	(155, 2249.0)	(160, 2171.0)	(165, 2212.0)	(170, 2180.0)	(175, 2161.0)	(180, 2271.0)	(185, 2119.0)	(190, 2067.0)	(195, 2075.0)	(200, 1996.0)	(205, 1979.0)	(210, 1981.0)	(215, 1893.0)	(220, 1919.0)	(225, 1800.0)	(230, 1718.0)	(235, 1720.0)	(240, 1733.0)	(245, 4735.0)	(250, 37242.0)
clean_SRR24510775_R2	(30, 3.0)	(35, 293.0)	(40, 540.0)	(45, 798.0)	(50, 971.0)	(55, 1180.0)	(60, 1276.0)	(65, 1434.0)	(70, 1514.0)	(75, 1713.0)	(80, 1763.0)	(85, 1802.0)	(90, 2031.0)	(95, 1889.0)	(100, 2014.0)	(105, 1988.0)	(110, 2161.0)	(115, 2107.0)	(120, 2291.0)	(125, 2115.0)	(130, 2369.0)	(135, 2278.0)	(140, 2256.0)	(145, 2340.0)	(150, 2290.0)	(155, 2247.0)	(160, 2173.0)	(165, 2209.0)	(170, 2171.0)	(175, 2152.0)	(180, 2264.0)	(185, 2114.0)	(190, 2067.0)	(195, 2061.0)	(200, 1988.0)	(205, 1974.0)	(210, 1968.0)	(215, 1884.0)	(220, 1902.0)	(225, 1786.0)	(230, 1710.0)	(235, 1704.0)	(240, 1712.0)	(245, 4279.0)	(250, 37807.0)
clean_SRR24510776_R1	(35, 151.0)	(40, 212.0)	(45, 274.0)	(50, 307.0)	(55, 299.0)	(60, 370.0)	(65, 402.0)	(70, 440.0)	(75, 467.0)	(80, 490.0)	(85, 486.0)	(90, 510.0)	(95, 511.0)	(100, 542.0)	(105, 577.0)	(110, 657.0)	(115, 582.0)	(120, 591.0)	(125, 672.0)	(130, 648.0)	(135, 655.0)	(140, 665.0)	(145, 710.0)	(150, 692.0)	(155, 669.0)	(160, 743.0)	(165, 715.0)	(170, 748.0)	(175, 778.0)	(180, 788.0)	(185, 808.0)	(190, 737.0)	(195, 773.0)	(200, 736.0)	(205, 755.0)	(210, 753.0)	(215, 710.0)	(220, 790.0)	(225, 739.0)	(230, 700.0)	(235, 741.0)	(240, 782.0)	(245, 4191.0)	(250, 39483.0)	
clean_SRR24510776_R2	(35, 151.0)	(40, 212.0)	(45, 275.0)	(50, 307.0)	(55, 299.0)	(60, 371.0)	(65, 404.0)	(70, 440.0)	(75, 467.0)	(80, 491.0)	(85, 486.0)	(90, 511.0)	(95, 514.0)	(100, 541.0)	(105, 579.0)	(110, 659.0)	(115, 578.0)	(120, 593.0)	(125, 674.0)	(130, 647.0)	(135, 656.0)	(140, 666.0)	(145, 708.0)	(150, 697.0)	(155, 669.0)	(160, 745.0)	(165, 717.0)	(170, 747.0)	(175, 779.0)	(180, 786.0)	(185, 810.0)	(190, 741.0)	(195, 775.0)	(200, 731.0)	(205, 755.0)	(210, 752.0)	(215, 717.0)	(220, 789.0)	(225, 737.0)	(230, 696.0)	(235, 732.0)	(240, 783.0)	(245, 4037.0)	(250, 39625.0)	
clean_SRR24510777_R1	(30, 45.0)	(35, 259.0)	(40, 330.0)	(45, 375.0)	(50, 396.0)	(55, 474.0)	(60, 521.0)	(65, 609.0)	(70, 587.0)	(75, 630.0)	(80, 686.0)	(85, 740.0)	(90, 784.0)	(95, 794.0)	(100, 834.0)	(105, 835.0)	(110, 916.0)	(115, 956.0)	(120, 1095.0)	(125, 1021.0)	(130, 1171.0)	(135, 1167.0)	(140, 1157.0)	(145, 1195.0)	(150, 1393.0)	(155, 1321.0)	(160, 1351.0)	(165, 1335.0)	(170, 1385.0)	(175, 1349.0)	(180, 1492.0)	(185, 1455.0)	(190, 1533.0)	(195, 1562.0)	(200, 1493.0)	(205, 1531.0)	(210, 1648.0)	(215, 1538.0)	(220, 1633.0)	(225, 1533.0)	(230, 1556.0)	(235, 1497.0)	(240, 1565.0)	(245, 3962.0)	(250, 26748.0)
clean_SRR24510777_R2	(30, 45.0)	(35, 258.0)	(40, 330.0)	(45, 376.0)	(50, 398.0)	(55, 472.0)	(60, 521.0)	(65, 609.0)	(70, 585.0)	(75, 630.0)	(80, 687.0)	(85, 742.0)	(90, 783.0)	(95, 794.0)	(100, 833.0)	(105, 842.0)	(110, 921.0)	(115, 964.0)	(120, 1101.0)	(125, 1029.0)	(130, 1180.0)	(135, 1166.0)	(140, 1159.0)	(145, 1197.0)	(150, 1392.0)	(155, 1327.0)	(160, 1359.0)	(165, 1343.0)	(170, 1383.0)	(175, 1351.0)	(180, 1486.0)	(185, 1457.0)	(190, 1527.0)	(195, 1561.0)	(200, 1486.0)	(205, 1531.0)	(210, 1636.0)	(215, 1538.0)	(220, 1622.0)	(225, 1526.0)	(230, 1549.0)	(235, 1488.0)	(240, 1550.0)	(245, 3822.0)	(250, 26901.0)
