Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
clean_SRR24510773_R1	clean_SRR24510773_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	87327.0	16.5 Mbp	0.0	34-251	37.0	27.362671338761206	189.98782736152623	217	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
clean_SRR24510773_R2	clean_SRR24510773_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	87327.0	16.5 Mbp	0.0	34-251	37.0	32.32219130394952	189.98213610910716	217	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
clean_SRR24510774_R1	clean_SRR24510774_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	104795.0	20.1 Mbp	0.0	31-251	38.0	27.82193806956439	191.8690300109738	217	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
clean_SRR24510774_R2	clean_SRR24510774_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	104795.0	20 Mbp	0.0	31-251	38.0	31.75914881435183	191.81643208168327	217	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
clean_SRR24510775_R1	clean_SRR24510775_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	119588.0	22 Mbp	0.0	32-251	38.0	23.829313977991102	184.24071813225407	197	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
clean_SRR24510775_R2	clean_SRR24510775_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	119588.0	22 Mbp	0.0	32-251	38.0	26.446633441482426	184.23189617687393	197	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	
clean_SRR24510776_R1	clean_SRR24510776_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	69049.0	14.8 Mbp	0.0	35-251	37.0	33.73980796246144	215.58849512664918	251	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
clean_SRR24510776_R2	clean_SRR24510776_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	69049.0	14.8 Mbp	0.0	35-251	37.0	39.615345624122	215.55848745094065	251	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
clean_SRR24510777_R1	clean_SRR24510777_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	76457.0	15.1 Mbp	0.0	31-251	38.0	29.649345383679716	197.66569444262788	222	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
clean_SRR24510777_R2	clean_SRR24510777_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	76457.0	15.1 Mbp	0.0	31-251	38.0	33.69475652981414	197.60490210183502	222	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	
clean_SRR24510778_R1	clean_SRR24510778_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	39682.0	8.9 Mbp	0.0	35-251	37.0	43.66463383902021	225.10317020311476	251	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	
